Index,text
0,"Interessanter Ansatz aus der Hirnforschung zu #Organspende. Forscher der Yale Universität: Mikrozirkulation + Aktivität von Synapsen können auch 4 Stunden nach dem Hirntod wieder einsetzen. Ein Grund, weshalb ich einer Organspende widersprechen werden.   https://t.co/TixJc4CZn5"
1,"@cehzett @AfDFraktionRLP @ltrlp Wer es ernst meint mit der Jugend, der wählt sie auch auf Parteilisten für die Parlamente. Ohne Quote, einfach mitnehmen."
2,"Erst die Fremde lehrt uns, was wir an der Heimat besitzen. |LBR| Theodor Fontane, Wanderungen durch die Mark Brandenburg"
3,GAR Nichts würden die von mir kriegen solange nicht die 1000sender in deren taschen aufgebraucht sind .
4,er ist der zweite österreicher gewesen den millionen zu jubelten ^^
5,Passt Passt und Passt👏👏👏  was für eine Pflaume👍👍👍👍👌 https://t.co/ciaayeAFx2
6,Clever kombiniert mit der #GigaKombi von #Vodafone. Kannst du das Rätsel auch lösen?  https://t.co/aSjoHxwnsO
7,"Herzlichen Glückwunsch zum Geburtstag, Michael Schumacher!   #KeepFightingMichael 🚗"
8,Willkommen in Narhalla!
9,"2/3   in´s Klo zu schmeißen !  (Als echte 'Nazies' kannten sie sich in der Moschee auch ganz gut aus und fanden direkt die Toiletten...)  Und um , „die Spirale von Hass und Gewalt gegen Muslime und ihre Moscheen“   zu belegen, wird auf einen Steinwurf auf eine Moschee in Dresden"
10,Altparteien nicht Wählen!
11,"Diese unfassbare Entwicklung ist ja unfassbar. Hätte das nur jemand vorausschauend vorausgesehen, dann wäre Rebecca schon lange wieder in den armen ihrer Liebsten, auch dem Schwager. 😢  https://t.co/hMiqNtYxJh    #findbecci, sucht endlich nach einer lebenden #rebecca #freeflorian"
12,"WIR DEUTSCHEN SIND NUR NOCH MENSCHEN 2ter KLASSE IM EIGENEN LAND!

„die zahnmedizinische Behandlung von Asylbewerbern könne die Sozialkassen schon bald mehrere Milliarden Euro zusätzlich kosten

https://jungefreiheit.de/debatte/kommentar/2016/wenn-fluechtlinge-gleicher-sind/

Während also deutsche Arbeitnehmer mit schmalem Portemonnaie wegen der hohen Zuzahlungen zunehmend zur Behandlung beim billigeren polnischen oder ungarischen Zahnarzt ins Ausland gehen, dürfen sie im eigenen Land immerhin noch über ihre Steuern und Beiträge die kostenfreie Behandlung der von ihrer eigenen Regierung eingeladenen Mühseligen und Beladenen dieser Welt mitbezahlen."
13,_Franz  Die Liste der Dummen ist enorm....aber warum gehören die meisten der Grünen Partei an..??
14,"er handelt für sein volk ,ihn liegt was an seinen volk ,er beschützt sein volk alle achtung ihm !"
15,"Ich bin zwar Unternehmer, aber bisher hatte ich immer die  gewählt, was wähle ich denn nur, wenn es die SPD, wie es der  ja auch passierte, bald nicht mehr gibt... Oh jeeeee"
16,"#Regenstauf: Gebrochen Deutsch sprechender Besucher des Regentalfestes reibt sein entblößtes, erigiertes Glied an einer Frau, versucht sie zu küssen - als ihre Begleiterin dazwischen geht, beschimpft sie der Mann als Schlampe und übergießt sie mit Bier  https://t.co/08oZOswV1T"
17,"Offenbach &gt;80% Kinder und Jugendliche sind nicht Deutscher Herkunft,deshalb sollten Migranten ohne Deutschen Pass,in Deutschland wählen dürfen!  https://t.co/sHneGVXxNS"
18,#Merkel Wie ist diese Schlampe eigentlich auf die Idee gekommen das Land so tiefgreifend zu verändern? #Merkelmussweg #refugeesnotwelcome
19,"Die Kirche befremdet einen großen Teil der Menschen, sagt _Bonn. Er hat einen Vorschlag, wie Christen deshalb ins neue Jahr gehen sollen."
